xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_pbe,False,"[0.0001, 0.39813184318431843]","[0.1503006012024048, 1.4328657314629258]","[0.0, 0.98989898989899]"
gga_c_pbefe,False,"[0.0001, 0.39813184318431843]","[0.2004008016032064, 1.783567134268537]","[0.0, 0.98989898989899]"
gga_c_pbeint,False,"[0.0001, 0.39813184318431843]","[0.1503006012024048, 1.6232464929859718]","[0.0, 0.98989898989899]"
gga_c_pbe_jrgx,False,"[0.0001, 0.39813184318431843]","[0.2004008016032064, 1.9138276553106213]","[0.0, 0.98989898989899]"
gga_c_pbeloc,False,"[0.0001, 5.0]","[0.2004008016032064, 2.4248496993987976]","[0.0, 1.0]"
gga_c_pbe_mol,False,"[0.0001, 0.39813184318431843]","[0.1002004008016032, 1.282565130260521]","[0.0, 0.98989898989899]"
gga_c_pbe_sol,False,"[0.0001, 0.39813184318431843]","[0.1503006012024048, 1.7334669338677353]","[0.0, 0.98989898989899]"
gga_c_pbe_vwn,False,"[0.0001, 0.3611288828882888]","[0.1503006012024048, 1.4228456913827654]","[0.0, 0.98989898989899]"
gga_c_pw91,False,"[0.0001, 0.0156012401240124]","[0.01002004008016032, 0.2905811623246493]","[0.0, 1.0]"
gga_c_q2d,False,"[0.0001, 0.004600360036003601]","[0.1002004008016032, 0.2905811623246493]","[0.0, 1.0]"
gga_c_regtpss,False,"[0.0001, 2.9228338233823385]","[0.1503006012024048, 2.374749498997996]","[0.0, 1.0]"
gga_c_revtca,False,"[0.005100400040004001, 5.0]","[0.01002004008016032, 2.124248496993988]","[0.42424242424242425, 1.0]"
gga_c_rge2,False,"[0.0001, 0.39813184318431843]","[0.1503006012024048, 1.6132264529058116]","[0.0, 0.98989898989899]"
gga_c_scan_e0,False,"[0.0001, 0.0021001600160016]","[0.2004008016032064, 0.3406813627254509]","[0.9191919191919192, 0.98989898989899]"
gga_c_sg4,False,"[1.6457316531653166, 5.0]","[0.8717434869739479, 1.8537074148296593]","[0.0, 0.43434343434343436]"
gga_c_sogga11,False,"[0.0001, 0.7716617261726173]","[0.01002004008016032, 0.5110220440881763]","[0.0, 1.0]"
gga_c_sogga11_x,True,---,---,---
gga_c_spbe,False,"[0.0001, 0.012601000100010001]","[0.1503006012024048, 0.6412825651302605]","[0.9191919191919192, 0.98989898989899]"
gga_c_tau_hcth,False,"[0.0001, 5.0]","[1.6032064128256511, 5.0]","[0.0, 0.9595959595959597]"
gga_c_tca,True,---,---,---
gga_c_tm_lyp,False,"[0.6791543254325433, 5.0]","[1.1422845691382766, 5.0]","[0.0, 0.98989898989899]"
gga_c_tm_pbe,False,"[0.0001, 5.0]","[0.01002004008016032, 2.7454909819639277]","[0.0, 1.0]"
gga_c_w94,True,---,---,---
gga_c_wi0,False,"[0.0001, 3.753400270027003]","[1.9639278557114228, 5.0]","[0.0, 1.0]"
gga_c_wi,False,"[0.0001, 5.0]","[0.5110220440881763, 5.0]","[0.0, 1.0]"
gga_c_wl,False,"[2.3732898589858986, 5.0]","[2.4849699398797593, 5.0]","[0.0, 0.7171717171717172]"
gga_c_xpbe,True,---,---,---
gga_c_zpbeint,False,"[0.17261380138013802, 0.39813184318431843]","[1.3126252505010019, 1.6232464929859718]","[0.0, 0.0]"
gga_c_zpbesol,False,"[0.17261380138013802, 0.39813184318431843]","[1.3927855711422845, 1.7334669338677353]","[0.0, 0.0]"
gga_c_zvpbeint,False,"[0.0001, 0.39813184318431843]","[1.3026052104208417, 1.6232464929859718]","[0.0, 0.04040404040404041]"
gga_c_zvpbeloc,False,"[0.0001, 5.0]","[0.751503006012024, 2.4248496993987976]","[0.0, 0.98989898989899]"
gga_c_zvpbesol,False,"[0.0001, 0.39813184318431843]","[1.3927855711422845, 1.7434869739478958]","[0.0, 0.030303030303030304]"
