xc,satisfied condition?,$r_s$ range,$s$ range,$\zeta$ range 
gga_c_pbe,False,"[0.0001, 0.39817165433086615]","[0.04008016032064128, 1.4328657314629258]","[0.0, 0.98989898989899]"
gga_c_pbefe,False,"[0.0001, 0.39817165433086615]","[0.04008016032064128, 1.783567134268537]","[0.0, 0.98989898989899]"
gga_c_pbeint,False,"[0.0001, 0.39817165433086615]","[0.04008016032064128, 1.6232464929859718]","[0.0, 0.98989898989899]"
gga_c_pbe_jrgx,False,"[0.0001, 0.39817165433086615]","[0.0501002004008016, 1.9138276553106213]","[0.0, 0.98989898989899]"
gga_c_pbeloc,False,"[0.0001, 5.0]","[0.0501002004008016, 2.4248496993987976]","[0.0, 1.0]"
gga_c_pbe_mol,False,"[0.0001, 0.39817165433086615]","[0.03006012024048096, 1.282565130260521]","[0.0, 0.98989898989899]"
gga_c_pbe_sol,False,"[0.0001, 0.39817165433086615]","[0.04008016032064128, 1.7334669338677353]","[0.0, 0.98989898989899]"
gga_c_pbe_vwn,False,"[0.0001, 0.36116499299859967]","[0.04008016032064128, 1.4228456913827654]","[0.0, 0.98989898989899]"
gga_c_pw91,False,"[0.0001, 0.015102700540108021]","[0.01002004008016032, 0.3507014028056112]","[0.0, 1.0]"
gga_c_q2d,False,"[0.0001, 0.004100720144028806]","[0.03006012024048096, 0.4909819639278557]","[0.0, 1.0]"
gga_c_regtpss,False,"[0.0001, 2.9226260652130427]","[0.04008016032064128, 2.374749498997996]","[0.0, 1.0]"
gga_c_revtca,False,"[0.0061010802160432085, 5.0]","[0.01002004008016032, 2.124248496993988]","[0.42424242424242425, 1.0]"
gga_c_rge2,False,"[0.0001, 0.39817165433086615]","[0.04008016032064128, 1.6132264529058116]","[0.0, 0.98989898989899]"
gga_c_scan_e0,True,---,---,---
gga_c_sg4,False,"[1.6453961592318462, 5.0]","[0.8717434869739479, 1.8537074148296593]","[0.0, 0.43434343434343436]"
gga_c_sogga11,False,"[0.0011001800360072014, 0.7712388077615523]","[0.03006012024048096, 0.5110220440881763]","[0.0, 1.0]"
gga_c_sogga11_x,True,---,---,---
gga_c_spbe,False,"[0.0001, 0.012102160432086416]","[0.04008016032064128, 0.9919839679358717]","[0.9090909090909092, 0.98989898989899]"
gga_c_tau_hcth,False,"[0.0001, 5.0]","[1.6032064128256511, 5.0]","[0.0, 0.9595959595959597]"
gga_c_tca,True,---,---,---
gga_c_tm_lyp,False,"[0.6792222444488897, 5.0]","[1.1422845691382766, 5.0]","[0.0, 0.98989898989899]"
gga_c_tm_pbe,False,"[0.0001, 5.0]","[0.01002004008016032, 2.7454909819639277]","[0.0, 1.0]"
gga_c_w94,True,---,---,---
gga_c_wi0,False,"[0.0001, 3.7527754950990198]","[1.9639278557114228, 5.0]","[0.0, 1.0]"
gga_c_wi,False,"[0.0001, 5.0]","[0.5110220440881763, 5.0]","[0.0, 1.0]"
gga_c_wl,False,"[2.373527225445089, 5.0]","[2.4849699398797593, 5.0]","[0.0, 0.7171717171717172]"
gga_c_xpbe,True,---,---,---
gga_c_zpbeint,False,"[0.17313114622924583, 0.39817165433086615]","[1.3126252505010019, 1.6232464929859718]","[0.0, 0.0]"
gga_c_zpbesol,False,"[0.17313114622924583, 0.39817165433086615]","[1.3927855711422845, 1.7334669338677353]","[0.0, 0.0]"
gga_c_zvpbeint,False,"[0.0001, 0.39817165433086615]","[1.002004008016032, 1.9939879759519037]","[0.0, 0.05050505050505051]"
gga_c_zvpbeloc,False,"[0.0001, 5.0]","[0.501002004008016, 2.4248496993987976]","[0.0, 0.98989898989899]"
gga_c_zvpbesol,False,"[0.0001, 0.39817165433086615]","[1.002004008016032, 1.8537074148296593]","[0.0, 0.04040404040404041]"
